,main_category,location,model,price,page,weekday,region,colour_type
104,1,2,1,43,1,1,1,3
105,3,4,2,18,3,1,1,4
106,2,3,1,57,2,1,1,4
107,2,5,2,33,2,1,1,1
108,2,5,1,38,2,1,1,1
109,1,6,1,62,1,1,1,2
110,1,6,1,62,1,1,1,2
111,1,1,1,43,1,1,1,3
112,1,1,1,28,1,1,1,4
113,1,3,1,43,1,1,1,3
114,1,3,1,62,1,1,1,3
115,1,3,1,82,1,1,1,3
116,1,1,2,38,2,1,1,2
117,1,6,1,38,2,1,1,2
118,1,5,1,38,2,1,1,2
119,3,3,1,48,1,1,1,4
135,1,4,1,38,1,1,1,2
136,1,4,1,38,1,1,1,3
137,1,5,2,62,2,1,1,1
138,1,1,2,38,2,1,1,2
148,2,6,2,38,1,1,1,1
149,3,3,1,48,1,1,1,4
152,2,1,2,57,1,1,1,3
153,1,2,2,38,1,1,1,3
154,3,1,1,43,1,1,1,3
155,3,3,2,48,1,1,1,2
156,3,6,1,48,1,1,1,5
213,3,6,1,48,1,1,2,1
214,2,1,1,57,1,1,2,2
215,2,2,1,52,1,1,2,4
216,1,4,2,43,2,1,2,1
217,1,1,1,62,2,1,2,1
218,1,6,1,33,1,1,2,1
219,1,4,1,62,1,1,2,3
233,3,1,1,48,2,1,4,3
234,1,1,1,28,1,1,4,4
235,1,1,1,43,1,1,1,3
236,1,2,1,43,1,1,1,3
237,1,3,1,82,1,1,1,3
238,1,4,1,38,1,1,1,2
239,1,4,1,62,1,1,1,3
240,2,5,1,38,1,1,1,5
241,2,5,2,33,2,1,1,1
242,1,1,1,28,1,1,1,4
243,1,1,2,33,2,1,1,3
245,2,1,1,38,2,1,1,4
246,2,2,1,57,2,1,1,3
247,2,3,1,57,2,1,1,4
248,2,3,1,57,2,1,1,2
249,2,2,1,38,2,1,1,3
250,2,6,2,38,1,1,1,1
251,2,6,1,52,1,1,1,3
252,2,5,2,62,1,1,1,3
253,2,5,1,62,1,1,1,2
254,2,3,1,57,2,1,1,4
255,2,2,1,57,2,1,1,3
256,2,2,1,52,1,1,1,2
257,2,3,1,57,2,1,1,4
258,2,5,1,38,2,1,1,1
259,2,3,1,57,2,1,1,4
260,2,3,1,57,2,1,1,4
261,2,3,1,57,2,1,1,4
262,2,3,1,57,2,1,1,4
263,2,3,1,57,2,1,1,4
264,2,3,1,57,2,1,1,4
265,2,3,1,57,2,1,1,4
266,2,3,1,57,2,1,1,4
267,2,2,1,38,2,1,1,3
268,1,2,1,43,1,1,1,3
269,1,4,1,38,1,1,1,2
270,2,3,1,57,2,1,1,2
271,2,1,1,52,1,1,1,3
272,2,1,2,57,1,1,1,3
273,2,4,1,67,1,1,1,2
274,2,5,1,62,1,1,1,2
275,2,2,1,52,1,1,1,2
276,3,3,1,48,1,1,1,4
277,3,1,1,48,2,1,1,3
278,3,1,2,33,4,1,1,4
282,1,4,1,62,1,1,1,3
291,2,2,1,52,1,1,1,4
292,2,6,1,52,1,1,1,3
293,2,1,2,57,1,1,1,3
294,2,1,1,57,1,1,1,2
295,2,3,1,48,1,1,1,1
296,3,2,1,48,1,1,1,3
297,3,3,1,48,1,1,1,4
298,3,1,2,23,1,1,1,1
299,3,3,1,48,1,1,1,1
300,3,6,1,48,1,1,1,1
301,3,6,1,48,1,1,1,5
302,3,4,1,33,1,1,1,3
303,3,5,1,23,1,1,1,5
304,3,6,1,48,2,1,1,3
305,3,6,1,43,2,1,1,1
306,3,1,1,43,3,1,1,2
307,3,1,1,77,3,1,1,1
308,3,5,2,26,3,1,1,2
309,3,5,2,20,3,1,1,5
310,3,5,1,20,3,1,1,1
311,3,6,1,38,3,1,1,2
312,3,1,2,33,4,1,1,4
313,3,6,1,48,1,1,1,5
314,1,1,1,28,1,1,1,4
315,1,1,1,43,1,1,1,3
316,1,1,1,72,1,1,1,3
317,1,2,1,43,1,1,1,3
318,1,2,1,43,1,1,1,3
319,1,3,1,43,1,1,1,3
320,1,3,1,62,1,1,1,3
321,1,3,1,82,1,1,1,3
322,1,4,1,38,1,1,1,3
323,1,4,1,38,1,1,1,2
324,1,5,1,28,1,1,1,1
325,1,5,2,33,1,1,1,1
326,1,6,1,33,1,1,1,1
327,1,6,1,62,1,1,1,2
328,1,5,2,62,2,1,1,1
329,1,1,2,33,2,1,1,3
330,1,6,1,33,2,1,1,1
331,1,2,1,28,3,1,1,1
336,1,4,1,62,1,1,1,3
337,1,1,1,28,1,1,1,4
338,1,1,1,72,1,1,1,3
339,1,1,1,72,1,1,1,3
340,1,5,1,28,1,1,4,1
341,2,3,1,48,1,1,4,1
342,2,5,2,62,1,1,4,3
343,2,4,1,38,1,1,4,2
344,1,5,1,28,1,1,4,1
345,2,4,1,67,1,1,4,2
346,2,4,1,43,1,1,4,2
347,4,6,1,33,1,1,4,3
348,4,1,1,38,1,1,4,3
349,1,5,1,28,1,1,1,1
350,1,1,1,43,1,1,1,3
351,1,2,1,43,1,1,1,3
373,4,2,1,43,3,1,4,2
374,4,5,1,28,3,1,4,5
375,4,3,2,28,4,1,4,1
382,3,3,1,55,3,1,2,1
383,3,3,1,55,3,1,2,3
384,3,6,1,48,1,1,4,1
385,1,5,2,33,1,1,4,1
386,1,2,2,38,1,1,4,3
387,2,2,1,52,1,1,4,4
388,2,1,1,57,1,1,4,2
389,2,1,1,57,1,1,4,2
390,1,5,2,33,1,1,2,1
391,2,1,1,57,1,1,2,2
392,2,4,1,67,1,1,2,2
393,2,4,1,38,1,1,2,2
394,2,5,1,38,1,1,2,5
395,2,2,1,57,2,1,2,3
396,1,2,1,43,1,1,1,3
397,3,5,1,48,1,1,1,5
398,3,1,2,28,1,1,1,2
399,3,2,1,48,1,1,1,3
400,3,5,1,23,1,1,1,5
401,3,6,1,48,1,1,1,5
402,2,4,1,67,1,1,2,2
403,2,4,1,43,1,1,2,2
404,2,4,1,38,1,1,2,2
405,2,5,2,62,1,1,2,3
406,2,5,1,62,1,1,2,2
407,2,5,2,62,1,1,2,3
408,2,4,1,67,1,1,2,2
409,2,1,1,43,2,1,2,4
410,2,1,1,67,2,1,2,3
411,2,2,1,67,2,1,2,2
412,2,3,1,57,2,1,2,2
413,2,4,1,57,2,1,2,5
414,2,4,1,38,1,1,2,2
415,2,4,1,67,1,1,2,2
416,1,5,1,28,1,1,2,1
417,1,1,1,62,2,1,2,1
418,1,5,1,60,1,1,2,3
419,1,6,1,33,1,1,2,1
420,2,5,1,38,1,1,2,5
421,1,2,2,38,1,1,2,3
422,1,4,2,43,2,1,2,1
423,1,2,1,43,1,1,2,3
424,1,2,1,43,1,1,2,3
425,1,4,1,38,1,1,2,3
426,1,3,1,82,1,1,2,3
427,1,4,1,38,1,1,2,2
428,1,5,2,33,1,1,2,1
429,1,6,1,38,1,1,2,2
430,1,6,1,38,2,1,2,2
431,1,1,1,62,2,1,2,1
432,1,4,1,38,2,1,2,1
433,2,2,1,52,1,1,2,4
434,2,1,1,52,1,1,2,3
435,2,1,1,57,1,1,2,2
436,2,5,1,38,1,1,2,5
437,2,5,1,38,2,1,2,1
438,2,5,2,33,2,1,2,1
439,3,2,1,48,1,1,2,2
440,3,6,1,50,2,1,2,5
441,3,5,2,26,3,1,2,2
442,3,2,2,48,4,1,2,1
443,3,1,1,48,4,1,2,4
444,1,2,1,43,1,1,2,3
445,2,2,1,52,1,1,2,4
446,1,6,1,33,1,1,2,1
447,3,1,1,43,1,1,2,3
448,3,2,1,48,1,1,2,2
449,3,3,1,48,1,1,2,1
450,3,1,2,28,1,1,2,2
451,1,1,1,43,1,1,2,3
452,2,1,1,57,1,1,2,2
453,3,6,1,50,2,1,2,5
454,3,1,1,57,2,1,2,1
455,3,6,1,57,3,1,2,1
456,3,1,2,57,4,1,2,1
457,2,2,1,52,1,1,2,4
458,2,5,1,57,2,1,4,5
459,2,2,1,38,2,1,4,3
460,2,2,1,57,2,1,4,3
461,1,6,1,33,1,1,1,1
493,3,3,1,33,2,1,1,2
536,2,2,1,57,2,1,1,3
537,2,3,1,38,2,1,1,1
538,2,2,1,67,2,1,1,2
539,3,6,1,48,1,1,1,1
540,3,4,2,28,1,1,2,5
541,3,5,1,23,1,1,2,5
542,3,4,2,28,2,1,2,2
543,3,5,2,20,3,1,2,5
544,1,4,1,62,1,1,2,3
545,1,3,1,38,2,1,2,2
546,1,5,1,38,2,1,2,2
547,1,2,1,28,3,1,2,1
548,2,1,1,57,1,1,2,2
549,2,2,1,52,1,1,2,4
550,2,5,1,62,1,1,2,2
551,2,5,2,62,1,1,2,3
552,2,1,1,38,2,1,2,4
553,2,5,1,38,2,1,2,1
554,2,3,1,57,2,1,2,2
555,1,2,1,43,1,1,4,3
556,1,3,1,62,1,1,4,3
557,1,5,2,33,1,1,4,1
558,4,1,1,38,1,1,4,3
572,1,5,1,38,2,1,2,2
573,1,1,1,43,1,1,2,3
587,3,2,2,48,4,1,1,1
588,3,1,1,48,4,1,1,4
589,2,3,2,52,1,1,1,2
590,2,1,1,57,1,1,1,2
591,2,2,1,38,2,1,1,3
592,3,1,2,57,4,1,1,1
593,1,2,2,38,1,1,1,3
594,4,2,1,43,1,1,4,2
595,3,1,2,28,1,1,4,2
622,1,4,1,38,1,1,1,3
623,1,4,1,38,1,1,1,2
624,1,4,1,38,1,1,1,3
625,1,4,1,38,1,1,1,2
688,1,5,1,28,1,1,2,1
689,2,4,1,38,2,1,2,5
690,2,1,1,67,2,1,2,3
691,2,1,1,43,2,1,2,4
692,2,3,1,57,2,1,2,4
693,2,3,1,57,2,1,2,4
694,2,5,2,62,1,1,2,3
695,3,5,1,48,1,1,2,5
696,3,6,1,48,1,1,2,5
697,1,1,1,28,1,1,2,4
698,1,4,1,38,1,1,2,2
699,1,2,1,48,2,1,2,2
700,3,1,2,33,4,1,1,4
701,1,4,1,38,2,1,1,1
702,1,4,1,38,1,1,1,3
703,1,1,1,62,3,1,1,2
704,2,2,1,57,2,1,1,3
707,2,4,1,38,1,1,1,2
708,3,6,1,48,1,1,1,1
709,3,1,1,43,3,1,1,2
710,3,2,2,28,3,1,1,1
711,1,4,1,38,1,1,1,3
712,1,4,1,62,1,1,1,3
713,1,3,1,82,1,1,1,3
714,1,6,1,62,1,1,1,2
715,1,3,1,43,1,1,1,3
716,1,3,1,62,1,1,1,3
717,1,1,1,62,2,1,1,1
718,1,5,1,38,2,1,1,1
719,1,2,1,62,2,1,1,2
720,2,6,1,52,1,1,1,3
721,2,6,2,38,1,1,1,1
722,2,1,1,57,1,1,1,2
723,2,6,1,52,1,1,1,3
988,3,4,1,43,1,1,1,1
989,3,3,1,55,3,1,1,1
990,3,3,1,55,3,1,1,1
991,3,3,1,55,3,1,1,3
992,3,1,1,57,2,1,1,1
993,3,5,1,48,2,1,1,1
994,3,1,1,57,2,1,1,1
995,4,5,2,38,1,1,1,2
996,3,4,1,43,1,1,1,1
997,3,6,1,57,3,1,1,1
998,3,6,1,57,3,1,1,1
999,3,2,2,52,4,1,1,4
1000,3,4,2,18,3,1,1,4
1001,3,1,1,38,3,1,1,4
1002,3,1,1,38,3,1,1,4
1003,3,1,1,57,2,1,1,1
1004,3,1,2,28,1,1,1,2
1005,3,2,1,48,1,1,1,2
1006,3,3,1,28,2,1,1,1
1007,3,1,1,57,2,1,1,1
1008,3,1,2,48,2,1,1,4
1009,3,1,2,48,2,1,1,4
1010,3,3,1,48,2,1,1,3
1011,3,4,1,43,1,1,1,1
1012,3,1,1,38,3,1,1,4
1013,3,3,1,55,3,1,1,1
1014,3,5,1,48,2,1,1,1
1015,3,5,2,20,3,1,1,5
1016,3,3,1,55,3,1,1,3
1017,3,1,2,48,2,1,1,4
1018,3,4,1,43,1,1,1,1
1019,3,4,2,48,2,1,1,2
1020,3,3,2,28,3,1,1,1
1021,4,2,2,28,2,1,1,1
1022,4,1,1,48,2,1,1,2
1023,4,1,1,43,3,1,1,1
1024,4,2,2,28,3,1,1,1
1025,4,3,2,28,3,1,1,3
1026,4,5,1,33,3,1,1,1
1027,4,2,1,28,4,1,1,1
1028,4,2,2,38,4,1,1,5
1029,3,2,1,48,1,1,1,2
1030,4,2,1,43,1,1,1,2
1031,4,3,2,28,3,1,1,3
1032,4,1,1,43,3,1,1,2
1033,4,4,1,28,3,1,1,1
1034,4,4,2,33,3,1,1,5
1035,4,5,1,38,4,1,1,5
1036,4,6,2,38,4,1,1,1
1321,1,5,2,33,1,1,1,1
1322,2,2,1,52,1,1,1,4
1323,2,3,1,38,1,1,1,1
1324,3,2,1,48,1,1,1,3
1325,3,1,2,28,1,1,1,2
1326,1,4,1,62,1,1,1,3
1327,1,4,1,38,1,1,1,3
1328,2,5,2,62,1,1,1,3
1735,1,4,1,38,1,1,2,2
1736,1,2,1,43,1,1,2,3
1737,1,4,1,38,1,1,2,3
1738,1,4,1,62,1,1,2,3
1739,1,3,1,82,1,1,2,3
1740,1,2,1,43,1,1,2,3
1741,3,2,1,48,1,1,2,3
1742,4,5,2,38,1,1,2,2
1743,4,1,1,48,1,1,2,2
1744,4,1,1,38,1,1,2,3
1745,4,1,1,38,1,1,2,3
1750,1,1,1,43,1,1,1,3
1751,1,1,1,72,1,1,1,3
1752,1,3,1,82,1,1,1,3
1753,1,2,1,43,1,1,1,3
1754,1,2,1,43,1,1,1,3
1755,1,3,1,43,1,1,1,3
1756,1,3,1,62,1,1,1,3
1757,1,4,1,38,1,1,1,3
1758,1,5,2,33,1,1,1,1
1759,1,5,2,33,1,1,1,1
1760,1,6,1,33,1,1,1,1
1761,1,3,1,82,1,1,1,3
1762,1,1,1,62,2,1,1,1
1763,1,2,1,62,2,1,1,2
1764,1,5,2,62,2,1,1,1
1765,1,6,2,33,2,1,1,1
1766,1,1,1,62,3,1,1,2
1767,2,1,2,57,1,1,1,3
1768,2,2,1,52,1,1,1,4
1769,2,5,1,38,2,1,1,1
1770,3,2,1,28,3,1,1,4
1771,3,2,1,28,3,1,1,4
1772,3,2,1,28,3,1,1,4
1773,3,6,1,48,1,1,1,1
1774,1,3,1,82,1,1,1,3
1796,1,1,1,28,1,1,2,4
1797,1,1,1,43,1,1,2,3
1798,1,3,1,82,1,1,2,3
1799,1,3,1,82,1,1,2,3
1800,1,6,1,38,1,1,2,2
1801,1,4,1,38,1,1,2,2
1802,2,5,1,38,1,1,2,5
1803,3,2,1,48,1,1,2,2
1804,3,5,1,48,1,1,2,5
1805,2,4,1,67,1,1,2,2
1806,2,2,1,52,1,1,2,4
1807,2,5,1,38,1,1,2,5
1808,1,3,1,43,1,1,1,3
1890,1,2,1,43,1,1,1,3
2174,1,5,1,28,1,1,1,1
2175,1,6,1,38,1,1,1,2
2176,1,1,1,38,3,1,1,2
2177,2,3,1,38,1,1,1,1
2178,2,5,1,62,1,1,1,2
2179,2,3,1,57,2,1,1,4
2180,3,4,2,28,1,1,1,5
2181,3,1,2,33,4,1,1,4
2364,1,1,1,62,2,1,1,1
2365,1,5,1,38,2,1,1,2
2366,1,4,1,38,2,1,1,1
2367,1,2,2,38,3,1,1,2
2368,1,1,1,62,3,1,1,2
2369,2,3,1,57,2,1,1,4
2370,2,1,1,57,1,1,1,2
2371,2,2,1,52,1,1,1,4
2372,2,1,2,57,1,1,1,3
2378,2,4,1,67,1,1,1,2
2379,2,5,1,62,1,1,1,2
2380,2,4,1,43,1,1,1,2
2381,2,5,2,62,1,1,1,3
2435,1,1,1,72,1,1,1,3
2436,3,2,1,33,2,1,1,3
2437,3,5,1,48,2,1,1,1
2438,3,1,2,57,4,1,1,1
2607,1,2,2,38,1,1,4,3
2608,2,4,1,67,1,1,4,2
2609,1,4,1,38,1,1,1,2
2610,1,4,1,62,1,1,1,3
2611,1,6,1,38,1,1,1,2
2612,1,6,1,62,1,1,1,2
2613,1,6,1,33,1,1,1,1
2614,1,5,2,33,1,1,1,1
2615,3,4,1,43,1,1,1,1
2616,3,1,2,28,1,1,1,2
2626,2,4,1,67,1,1,2,2
2627,2,4,1,62,2,1,2,2
2628,2,3,1,57,2,1,2,2
2629,3,4,2,48,2,1,2,2
2630,3,4,2,28,2,1,2,2
2631,3,3,2,48,1,1,2,2
2632,3,4,2,28,2,1,2,2
2633,2,2,1,52,1,1,2,2
2634,2,1,1,57,1,1,2,2
2635,2,4,1,38,1,1,2,2
2636,2,5,1,38,2,1,2,1
2637,2,6,1,48,2,1,2,2
2638,2,4,1,38,2,1,2,5
2639,3,3,1,33,2,1,2,2
2640,3,1,1,57,2,1,2,1
2641,3,6,1,50,2,1,2,5
2642,3,1,1,77,3,1,2,1
2643,3,4,1,28,3,1,2,1
2644,3,4,1,48,3,1,2,2
2645,3,6,1,38,3,1,2,2
2646,3,1,2,33,4,1,2,4
2647,1,5,1,38,2,1,2,1
2672,1,1,1,62,2,1,1,1
2673,1,5,1,38,2,1,1,2
2675,2,2,1,52,1,1,2,4
2676,2,4,1,67,1,1,2,2
2677,2,5,2,62,1,1,2,3
2678,2,6,1,52,1,1,2,3
2679,2,2,1,38,2,1,2,3
2680,2,5,2,33,2,1,2,1
2681,3,6,1,48,1,1,2,5
2682,1,2,2,38,1,1,2,3
2683,1,6,1,62,1,1,2,2
2684,2,2,1,52,1,1,2,4
2685,2,2,1,38,2,1,2,3
2686,2,5,1,38,2,1,2,1
2687,2,3,1,57,2,1,2,2
2688,2,5,1,57,2,1,2,5
2689,2,6,1,52,1,1,2,3
2690,3,1,1,43,1,1,2,3
2691,3,1,1,43,3,1,2,2
2692,1,5,2,33,1,1,1,1
2693,1,4,1,62,1,1,1,3
2694,1,6,1,38,1,1,1,2
2702,3,1,1,43,1,1,2,3
2703,3,2,1,48,1,1,2,3
2704,3,3,1,48,1,1,2,4
2705,3,1,1,57,2,1,2,1
2706,3,3,1,33,2,1,2,2
2707,2,2,1,52,1,1,2,4
2708,2,6,1,52,1,1,2,3
2709,1,6,1,33,1,1,2,1
2710,1,2,2,38,1,1,2,3
2712,1,2,2,38,1,1,1,3
2713,1,5,2,33,1,1,1,1
2714,1,4,1,38,1,1,1,2
2715,1,4,1,62,1,1,1,3
2716,1,1,1,72,1,1,1,3
2717,1,2,1,62,2,1,1,2
2727,2,4,1,67,1,1,1,2
2728,2,3,1,57,2,1,1,2
2729,2,4,1,62,2,1,1,2
2730,3,5,1,33,2,1,1,2
2731,1,5,2,33,1,1,1,1
2732,2,2,1,67,2,1,1,2
2733,1,3,1,38,2,1,1,2
2734,1,1,1,62,3,1,1,2
2735,2,4,1,67,1,1,1,2
2736,2,2,1,67,2,1,1,2
2737,3,6,1,48,1,1,1,5
2738,3,3,1,48,1,1,1,4
2739,1,5,2,33,1,1,1,1
2740,1,6,1,38,2,1,1,2
2741,1,2,1,62,2,1,1,2
2742,1,1,1,62,3,1,1,2
2744,1,2,2,38,1,1,1,3
2745,1,5,2,33,1,1,1,1
2746,1,6,1,38,1,1,1,2
2747,1,3,1,38,2,1,1,2
2748,1,2,1,48,2,1,1,2
2749,1,3,1,55,2,1,1,3
2750,1,5,2,62,2,1,1,1
2751,1,4,1,60,2,1,1,2
2858,3,1,1,43,1,1,1,3
2859,3,1,2,23,1,1,1,1
2860,3,3,1,55,3,1,1,3
2861,3,6,1,48,2,1,1,3
2862,3,4,2,28,2,1,1,2
2863,3,4,1,33,1,1,1,3
2874,1,1,1,28,1,1,1,4
2875,1,1,1,72,1,1,1,3
2876,1,2,1,43,1,1,1,3
2877,1,5,2,33,1,1,1,1
2878,1,4,1,38,1,1,1,2
2879,1,4,1,38,1,1,1,3
2880,3,1,1,43,1,1,1,3
2881,2,5,2,62,1,1,1,3
2882,1,2,1,43,1,1,4,3
2883,1,3,1,62,1,1,4,3
2884,1,2,1,43,1,1,4,3
2885,1,3,1,43,1,1,4,3
2886,1,1,1,72,1,1,4,3
2887,1,4,1,38,1,1,4,3
2888,1,3,1,62,1,1,4,3
2889,1,2,1,43,1,1,4,3
2940,1,1,1,28,1,1,1,4
2941,3,6,1,50,2,1,1,5
2942,3,5,2,26,3,1,1,2
2943,1,4,1,38,1,1,1,3
2944,1,3,1,82,1,1,1,3
2945,1,1,1,43,1,1,1,3
2946,1,1,1,43,1,1,1,3
2947,1,1,1,72,1,1,1,3
2948,1,1,1,28,1,1,1,4
2949,2,2,2,52,1,1,1,1
2950,2,2,1,52,1,1,1,2
2951,2,2,2,52,1,1,1,1
2952,1,4,1,62,1,1,1,3
2953,1,1,1,28,1,1,1,4
2954,1,2,2,38,1,1,1,3
2955,1,5,2,33,1,1,1,1
2956,1,5,1,60,1,1,1,3
2957,2,2,1,57,2,1,1,3
2958,2,3,1,38,2,1,1,1
2959,2,3,1,57,2,1,1,2
2960,2,3,1,57,2,1,1,2
2961,2,6,2,38,1,1,1,1
2962,2,2,1,38,2,1,1,3
2963,2,2,1,38,2,1,1,3
2964,3,4,2,28,2,1,1,2
2965,3,6,1,48,2,1,1,3
2966,3,5,2,20,3,1,1,5
2967,3,4,1,28,3,1,1,1
2968,2,1,1,52,1,1,1,3
2969,2,6,1,52,1,1,1,3
2970,2,4,1,38,1,1,1,2
2971,2,6,2,38,1,1,1,1
2972,2,1,1,52,1,1,1,3
2973,2,5,2,62,1,1,1,3
3060,4,2,2,28,2,1,2,1
3061,4,5,2,33,3,1,2,1
3062,1,3,1,62,1,1,2,3
3063,1,3,1,62,1,1,2,3
3064,1,2,1,43,1,1,1,3
3065,1,3,1,43,1,1,1,3
3066,1,1,1,43,1,1,1,3
3067,1,5,1,28,1,1,1,1
3068,1,6,1,33,1,1,1,1
3069,1,5,2,33,1,1,1,1
3070,1,4,1,62,1,1,1,3
3071,1,6,1,62,1,1,1,2
3072,1,6,1,38,1,1,1,2
3073,1,1,1,62,2,1,1,1
3074,1,5,1,38,2,1,1,1
3075,1,1,1,62,2,1,1,1
3076,1,5,1,28,1,1,1,1
3077,1,5,1,38,2,1,1,1
3078,1,6,1,38,2,1,1,2
3079,1,1,1,62,2,1,1,1
3080,1,2,1,62,2,1,1,2
3081,1,4,2,43,2,1,1,1
3082,1,2,1,62,2,1,1,2
3083,1,1,1,62,2,1,1,1
3084,1,6,1,33,2,1,1,1
3085,1,5,2,62,2,1,1,1
3086,1,5,1,38,2,1,1,2
3087,1,5,1,38,2,1,1,1
3088,1,1,1,62,2,1,1,1
3089,1,6,1,33,1,1,1,1
3090,1,4,1,62,1,1,1,3
3091,1,6,1,33,1,1,1,1
3092,1,5,1,28,1,1,1,1
3093,1,4,1,38,1,1,1,3
3094,1,4,1,38,1,1,1,3
3095,1,1,1,62,2,1,1,1
3096,1,5,1,38,2,1,1,2
3097,2,4,1,67,1,1,1,2
3098,2,5,1,38,1,1,1,5
3099,2,5,1,57,2,1,1,5
3100,2,4,1,57,2,1,1,5
3101,2,1,1,38,2,1,1,4
3102,1,5,1,28,1,1,1,1
3103,1,1,1,62,2,1,1,1
3110,1,1,1,72,1,1,1,3
3111,1,2,2,38,1,1,1,3
3112,1,2,1,43,1,1,1,3
3113,1,3,1,82,1,1,1,3
3114,2,5,1,38,2,1,1,1
3115,3,2,1,48,1,1,1,3
3177,3,3,1,28,2,1,1,1
3178,1,1,2,33,2,1,1,3
3179,1,6,2,33,2,1,1,1
3180,1,5,2,33,1,1,1,1
3233,3,1,1,43,1,1,1,3
3234,3,2,1,48,1,1,1,2
3235,3,2,1,33,2,1,1,3
3236,3,3,1,33,2,1,1,2
3237,3,4,2,28,2,1,1,2
3238,1,1,1,62,2,1,1,1
3239,1,3,1,38,2,1,1,2
3240,1,2,1,43,3,1,1,2
3241,3,1,1,43,1,1,1,3
3242,3,3,1,48,1,1,1,4
3243,3,3,2,48,1,1,1,2
3244,3,5,1,23,1,1,1,5
3245,3,6,1,48,1,1,1,1
3246,3,2,1,33,2,1,1,3
3247,3,4,2,52,2,1,1,1
3248,3,6,1,50,2,1,1,5
3249,3,2,2,28,3,1,1,1
3250,3,4,1,28,3,1,1,1
3251,3,4,1,48,3,1,1,2
3252,3,5,2,26,3,1,1,2
3253,2,1,1,57,1,1,1,2
3254,2,5,1,57,2,1,1,5
3285,2,1,1,52,1,1,1,3
3286,2,3,1,48,1,1,1,1
3287,2,3,1,38,1,1,1,1
3288,2,2,1,52,1,1,1,2
3289,1,6,1,33,2,1,1,1
3307,2,1,1,57,1,1,1,2
3308,2,1,2,57,1,1,1,3
3309,2,1,1,52,1,1,1,3
3310,2,2,1,52,1,1,1,4
3311,2,2,2,52,1,1,1,1
3312,2,2,1,52,1,1,1,2
3313,2,3,1,38,1,1,1,1
3314,2,3,2,52,1,1,1,2
3315,2,3,1,48,1,1,1,1
3316,2,4,1,67,1,1,1,2
3317,2,4,1,43,1,1,1,2
3318,2,4,1,38,1,1,1,2
3319,2,5,2,62,1,1,1,3
3320,2,5,1,62,1,1,1,2
3321,2,5,1,38,1,1,1,5
3322,2,6,1,52,1,1,1,3
3323,2,6,2,38,1,1,1,1
3324,2,1,1,38,2,1,1,4
3325,2,2,1,38,2,1,1,3
3326,2,5,1,57,2,1,1,5
3327,2,4,1,57,2,1,1,5
3328,3,2,1,48,1,1,1,2
3329,3,2,2,43,2,1,1,3
3330,3,5,2,26,3,1,1,2
3331,3,1,2,33,4,1,1,4
3335,1,1,1,28,1,1,1,4
3336,1,3,1,43,1,1,1,3
3337,3,6,1,48,1,1,1,1
3338,1,3,1,62,1,1,1,3
3339,1,1,1,28,1,1,1,4
3343,2,5,1,62,1,1,2,2
3344,2,4,1,43,1,1,2,2
3345,2,5,1,57,2,1,2,5
3346,2,4,1,57,2,1,2,5
3347,2,2,1,67,2,1,2,2
3348,2,4,1,62,2,1,2,2
